Cristiano Ronaldo,80
L. Messi,72
Neymar,68
L. Suárez,86
M. Neuer,92
R. Lewandowski,79
De Gea,76
E. Hazard,76
T. Kroos,78
G. Higuaín,87
Sergio Ramos,75
K. De Bruyne,68
T. Courtois,94
A. Sánchez,62
L. Modrić,65
G. Bale,74
S. Agüero,70
G. Chiellini,85
G. Buffon,94
P. Dybala,73
J. Oblak,82
A. Griezmann,72
Thiago,70
P. Aubameyang,80
L. Bonucci,85
J. Boateng,90
D. Godín,78
M. Hummels,92
M. Özil,76
H. Lloris,82
Thiago Silva,79
Z. Ibrahimović,95
A. Robben,80
N. Kanté,68
M. Verratti,60
P. Pogba,84
C. Eriksen,76
A. Vidal,75
E. Cavani,71
Marcelo,75
M. Hamšík,79
I. Rakitić,78
David Silva,67
S. Handanovič,92
Piqué,85
Iniesta,68
H. Kane,86
J. Rodríguez,75
Isco,74
D. Alaba,76
R. Lukaku,94
Alex Sandro,81
T. Müller,75
Sergio Busquets,76
Coutinho,71
M. Reus,75
T. Alderweireld,91
David Luiz,84
Diego Costa,87
R. Nainggolan,77
Javi Martínez,81
D. Mertens,61
Sokratis,85
Miranda,78
K. Benzema,79
Cesc Fàbregas,77
F. Ribéry,72
Pepe,81
P. Čech,90
Y. Carrasco,67
R. Varane,78
Morata,85
Casemiro,80
L. Insigne,59
Koke,74
A. Lacazette,73
K. Navas,78
H. Mkhitaryan,75
D. Subašić,84
B. Leno,83
M. ter Stegen,85
K. Glik,80
Jordi Alba,68
I. Gündoğan,80
Azpilicueta,78
A. Di María,75
M. Pjanić,70
C. Marchisio,73
J. Vertonghen,88
B. Matuidi,70
S. Ruffier,93
Filipe Luís,73
V. Kompany,85
A. Barzagli,87
E. Bailly,77
Marco Asensio,75
Bernardo Silva,64
A. Laporte,85
D. Alli,80
S. Mané,69
Carvajal,73
J. Draxler,72
M. Icardi,75
K. Koulibaly,89
T. Horn,90
K. Manolas,83
S. Mustafi,82
Ander Herrera,70
N. Matić,85
K. Strootman,78
Pedro,65
R. Bürki,85
Bruno,73
I. Perišić,80
E. Džeko,84
Willian,77
S. Khedira,89
R. Fährmann,95
Sergio Asenjo,87
Juan Mata,63
M. Benatia,92
Falcao,72
L. Koscielny,75
G. Cahill,86
Dani Alves,68
A. Gómez,68
Aduriz,78
K. Mbappé,73
O. Dembélé,67
N. Keïta,64
J. Giménez,76
G. Rulli,84
T. Lemar,58
João Mário,73
N. Süle,97
Ederson,86
L. Goretzka,79
Fabinho,78
M. Salah,71
A. Belotti,72
E. Forsberg,78
Marquinhos,75
William Carvalho,83
S. Umtiti,75
R. Mahrez,67
V. van Dijk,92
Roberto Firmino,76
Danilo Pereira,83
Vitolo,80
A. Lopes,81
S. de Vrij,78
M. Perin,77
J. Matip,90
I. Gueye,66
Iago Aspas,67
C. Immobile,85
N. Otamendi,81
J. Pastore,78
Parejo,74
S. Kagawa,68
G. Bonaventura,75
B. Dost,89
K. Walker,83
Oscar,67
S. N'Zonzi,75
M. Musacchio,73
O. Toprak,83
José Callejón,73
Adrien Silva,69
S. Giovinco,61
N. Gaitán,68
M. Mandžukić,86
A. Lallana,73
B. Höwedes,82
E. Banega,71
Rui Patrício,84
Y. Sommer,79
D. Payet,77
M. Schneiderlin,75
Jonas,74
L. Piszczek,79
E. Garay,90
A. Valencia,83
K. Schmeichel,89
M. Dembélé,88
Borja Valero,73
L. Perrin,80
L. Biglia,63
Diego López,89
Santi Cazorla,66
J. Mascherano,73
W. Sneijder,72
Nani,68
D. De Rossi,83
José Reina,92
Quaresma,67
Y. Touré,90
Casillas,84
G. Donnarumma,90
L. Sané,75
T. Bakayoko,85
C. Tolisso,78
N. Fekir,78
J. Seri,65
K. Baldé Diao,80
J. Tah,92
F. Bernardeschi,75
T. Werner,75
André Gomes,84
A. Martial,76
Q. Promes,72
Lucas Vázquez,70
Saúl,70
Felipe,77
C. Bacca,77
F. Vázquez,82
M. Kovačić,77
Sergio Rico,88
Manu Trigueros,71
A. Rüdiger,85
F. Thauvin,70
S. Savić,79
Iñigo Martínez,79
Roque Mesa,74
A. Florenzi,67
D. Klaassen,70
K. Bellarabi,80
R. Sterling,69
Suso,70
Deulofeu,73
E. Dier,90
M. Rojo,80
Lucas,72
H. Son,77
F. Acerbi,88
G. Xhaka,82
Jonathan Viera,64
Pizzi,72
Willian José,93
A. Yarmolenko,83
O. Baumann,82
G. Medel,71
Víctor Ruíz,78
X. Shaqiri,72
J. Cuadrado,71
Douglas Costa,65
N. Clyne,67
Iborra,91
V. Wanyama,87
Taison,64
Marlos,69
L. Stindl,80
M. Balotelli,88
A. Ramsey,76
W. Szczęsny,85
G. Sigurðsson,77
Y. Brahimi,66
M. Arnautović,83
J. Henderson,67
M. Kruse,76
O. Karnezis,81
L. Fejsa,80
F. Muslera,84
V. Ćorluka,84
G. Wijnaldum,69
F. Fazio,85
O. Giroud,88
B. Ivanović,91
J. Hernández,73
Beñat,76
L. Bender,81
A. Witsel,73
K. Gameiro,70
C. Bravo,80
A. Begović,83
Naldo,91
D. Sturridge,76
D. Rose,76
C. Vela,77
E. Viviano,90
G. Castro,74
S. Nasri,75
A. Williams,77
L. Baines,74
A. Consigli,82
João Moutinho,61
B. Costil,88
Raúl Albiol,82
J. Hart,91
M. Gómez,88
Juanfran,72
Raffael,69
A. Turan,76
Fernandinho,67
David Villa,69
S. Lichtsteiner,75
R. Jarstein,82
M. Rashford,70
Gabriel Jesus,73
Nélson Semedo,67
Gelson Martins,65
Malcom,75
J. Weigl,72
D. Sánchez,79
I. Slimani,83
A. Kramarić,73
M. Brozović,68
Williams,77
Dani García,75
A. Christensen,78
J. Kimmich,70
Bruma,70
D. Berardi,72
A. Rabiot,71
R. Guerreiro,71
J. Vardy,74
H. Ziyech,70
M. Keane,82
Jorginho,65
Héctor Bellerín,74
J. Butland,95
S. Zaza,84
T. Meunier,88
Felipe Anderson,70
Rafinha,71
Nacho Fernández,75
J. Cillessen,83
Sergi Roberto,68
W. Ben Yedder,68
Lucas Pérez,73
R. Barkley,76
C. Bakambu,73
W. Zaha,66
Bartra,73
S. Aurier,76
S. Coates,92
G. Krychowiak,85
K. Kampl,67
D. Lovren,84
Y. Belhanda,75
Mário Fernandes,80
R. Rodríguez,77
J. Corona,62
Mario Gaspar,74
Marcos Alonso,84
M. Götze,75
L. Hrádecký,80
Illarramendi,75
De Marcos,78
C. Smalling,81
J. Wilshere,68
S. Rudy,74
M. Lanzini,59
K. Trapp,88
R. Boudebouz,74
Camacho,75
Paulinho,81
N. Kalinić,80
Giuliano,68
D. Perotti,70
M. Parolo,75
K. Mitroglou,89
M. Sakho,83
A. Rami,90
S. Jovetić,79
S. Coleman,67
S. Kjær,90
Adán,88
M. Valbuena,63
S. Mignolet,87
D. Astori,80
K. Mirallas,72
A. Guardado,67
