Provincia,Partido,Votos
Almería,PP,99917
Almería,PSOE-A,88709
Almería,PODEMOS,29496
Almería,C's,25335
Almería,IULV-CA,11300
Almería,UPyD,4822
Almería,PA,1901
Almería,PACMA,1642
Almería,CILUS,1510
Almería,VOX,937
Almería,FE-JONS,428
Almería,RECORTES-CERO,344
Almería,PCPE,254
Cádiz,PSOE-A,179731
Cádiz,PP,136423
Cádiz,PODEMOS,107141
Cádiz,C's,59191
Cádiz,IULV-CA,37986
Cádiz,PA,15820
Cádiz,UPyD,11929
Cádiz,PACMA,6242
Cádiz,VOX,2087
Cádiz,PUM+J,974
Cádiz,FE-JONS,715
Cádiz,PCPE,583
Córdoba,PSOE-A,151955
Córdoba,PP,115456
Córdoba,PODEMOS,53167
Córdoba,IULV-CA,42289
Córdoba,C's,32457
Córdoba,UPyD,6525
Córdoba,PA,6207
Córdoba,PACMA,2706
Córdoba,VOX,1384
Córdoba,EB,1149
Córdoba,PCPE,533
Córdoba,FE-JONS,511
Córdoba,PUM+J,454
Córdoba,PTJ,386
Córdoba,RECORTES-CERO,377
Granada,PSOE-A,156779
Granada,PP,135881
Granada,PODEMOS,62902
Granada,C's,43292
Granada,IULV-CA,27581
Granada,UPyD,8329
Granada,PA,5466
Granada,PACMA,2851
Granada,VOX,1862
Granada,FE-JONS,593
Granada,PUM+J,540
Granada,PBG,493
Granada,RECORTES-CERO,442
Granada,PCPE,431
Huelva,PSOE-A,96059
Huelva,PP,62027
Huelva,PODEMOS,30803
Huelva,C's,16982
Huelva,IULV-CA,14650
Huelva,UPyD,3674
Huelva,PA,3577
Huelva,PACMA,1714
Huelva,VOX,637
Huelva,RECORTES-CERO,325
Huelva,FE-JONS,247
Huelva,PCPE,191
Huelva,CÁMBIALO,163 
Jaén,PSOE-A,153208
Jaén,PP,104370
Jaén,PODEMOS,39624
Jaén,C's,21366
Jaén,IULV-CA,20555
Jaén,UPyD,5181
Jaén,PA,4464
Jaén,PACMA,1836
Jaén,CILUS,1639
Jaén,VOX,1106
Jaén,FE-JONS,355
Jaén,RECORTES-CERO,298
Jaén,PCPE,286
Jaén,PRAO,254
Jaén,RISA,186
Málaga,PSOE-A,202302
Málaga,PP,190395
Málaga,PODEMOS,101317
Málaga,C's,79119
Málaga,IULV-CA,49502
Málaga,UPyD,17649
Málaga,PACMA,7082
Málaga,PA,6664
Málaga,CILUS,4269
Málaga,VOX,2360
Málaga,FE-JONS,872
Málaga,RECORTES-CERO,868
Málaga,PCPE,653
Málaga,NEODEMÓCRATAS,320
Sevilla,PSOE-A,380299
Sevilla,PP,219699
Sevilla,PODEMOS,165561
Sevilla,C's,91246
Sevilla,IULV-CA,70064
Sevilla,UPyD,18544
Sevilla,PA,16608
Sevilla,PACMA,7662
Sevilla,VOX,7644
Sevilla,CILUS,3762
Sevilla,FE-JONS,1090
Sevilla,RECORTES-CERO,904
Sevilla,PCPE,559
Sevilla,SyR,350
Sevilla,LYG,317
Sevilla,PNdeA,293
