Provincia,Partido,Votos
Almería,PP,70504
Almería,PSOE-A,67088
Almería,VOX,43468
Almería,Cs,42258
Almería,ADELANTE ANDALUCÍA,24985
Almería,PACMA,3460
Almería,EQUO-INICIATIVA,852
Almería,CILUS,796
Almería,EB,545
Almería,UPYD,390
Almería,RECORTES CERO - M+J - GV,344
Almería,PCPA,338
Almería,AxSÍ,319
Almería,NA,289
Almería,FE de las JONS,220
Cádiz,PSOE-A,121100
Cádiz,Cs,106331
Cádiz,ADELANTE ANDALUCÍA,97647
Cádiz,PP,89517
Cádiz,VOX,57279
Cádiz,PACMA,11405
Cádiz,AxSÍ,8073
Cádiz,EQUO-INICIATIVA,2055
Cádiz,EB,1315
Cádiz,NA,1285
Cádiz,RECORTES CERO - M+J - GV,1199
Cádiz,PCPA,1007
Cádiz,UPYD,940
Cádiz,ALTER,558
Cádiz,FE de las JONS,383
Córdoba,PSOE-A,111501
Córdoba,PP,83715
Córdoba,Cs,67352
Córdoba,ADELANTE ANDALUCÍA,64048
Córdoba,VOX,35096
Córdoba,PACMA,5878
Córdoba,AxSÍ,1602
Córdoba,EQUO-INICIATIVA,1449
Córdoba,EB,1079
Córdoba,PCOE,975
Córdoba,PCPA,883
Córdoba,RECORTES CERO - M+J - GV,613
Córdoba,UPYD,590
Córdoba,FE de las JONS,332
Córdoba,PCTE,0
Granada,PSOE-A,111161
Granada,PP,95220
Granada,Cs,75949
Granada,ADELANTE ANDALUCÍA,62206
Granada,VOX,46952
Granada,PACMA,7336
Granada,EQUO-INICIATIVA,1739
Granada,AxSÍ,1550
Granada,CAnda,1188
Granada,RECORTES CERO - M+J - GV,938
Granada,PCPA,882
Granada,UPYD,736
Granada,NA,534
Granada,UNIDOS SÍ-Democracia Efectiva,325
Granada,IZAR,280
Huelva,PSOE-A,66671
Huelva,PP,47653
Huelva,Cs,34271
Huelva,ADELANTE ANDALUCÍA,30071
Huelva,VOX,17573
Huelva,IxH,3990
Huelva,PACMA,3197
Huelva,AxSÍ,1398
Huelva,EQUO-INICIATIVA,809
Huelva,PCPA,463
Huelva,RECORTES CERO - M+J - GV,409
Huelva,NA,373
Huelva,UPYD,303
Huelva,FE de las JONS,171
Jaén,PSOE-A,112339
Jaén,PP,73532
Jaén,Cs,50604
Jaén,ADELANTE ANDALUCÍA,38473
Jaén,VOX,27671
Jaén,PACMA,4093
Jaén,Respeto,1032
Jaén,CILU-LINARES,968
Jaén,AxSÍ,958
Jaén,CILUS,841
Jaén,EQUO-INICIATIVA,696
Jaén,PCPA,594
Jaén,RECORTES CERO - M+J - GV,367
Jaén,UPYD,353
Jaén,NA,305
Jaén,RISA,228
Jaén,FE de las JONS,191
Málaga,PSOE-A,152279
Málaga,PP,142182
Málaga,Cs,124573
Málaga,ADELANTE ANDALUCÍA,98440
Málaga,VOX,72455
Málaga,PACMA,15766
Málaga,EQUO-INICIATIVA,3156
Málaga,AxSÍ,2429
Málaga,CILUS,2305
Málaga,RECORTES CERO - M+J - GV,1358
Málaga,PCPA,1229
Málaga,UPYD,1109
Málaga,NA,781
Málaga,SOLUCIONA,496
Málaga,ALTER,494
Málaga,FE de las JONS,477
Málaga,ConecAnd,453
Málaga,IZAR,369
Sevilla,PSOE-A,267104
Sevilla,ADELANTE ANDALUCÍA,168170
Sevilla,Cs,158293
Sevilla,PP,146952
Sevilla,VOX,95484
Sevilla,PACMA,18525
Sevilla,AxSÍ,5688
Sevilla,EQUO-INICIATIVA,4253
Sevilla,PCOE,2230
Sevilla,RECORTES CERO - M+J - GV,1927
Sevilla,UPYD,1918
Sevilla,NA,1421
Sevilla,PCPA,1196
Sevilla,ALTER,967
Sevilla,FE de las JONS,675
