Provincia,Partido,Votos
Álava,PODEMOS,48413
Álava,PP,33683
Álava,EAJ-PNV,28353
Álava,PSE-EE/PSOE,25331
Álava,EH Bildu,21225
Álava,C's,10512
Álava,IU-UP,6814
Álava,PACMA,1385
Álava,UPyD,768
Álava,Recortes Cero-Grupo Verd,561
Álava,PCPE,175
Albacete,PP,85241
Albacete,PSOE,65205
Albacete,C's,33755
Albacete,PODEMOS,32320
Albacete,IU-UP,9306
Albacete,PACMA,1583
Albacete,UPyD,1146
Albacete,VOX,538
Albacete,Recortes Cero-Grupo Verd,305
Albacete,PCPE,251
Alicante,PP,297083
Alicante,PODEMOS-COMPROMÍS,201610
Alicante,PSOE,188711
Alicante,C's,154397
Alicante,IU-UP,33397
Alicante,PACMA,8262
Alicante,UPyD,5570
Alicante,VOX,2227
Alicante,Recortes Cero-Grupo Verd,1761
Alicante,PCPE,1741
Almería,PP,117635
Almería,PSOE,89434
Almería,C's,44494
Almería,PODEMOS,39780
Almería,IU-UP,10828
Almería,PACMA,2126
Almería,UPyD,1532
Almería,VOX,558
Almería,PCPE,318
Almería,Recortes Cero-Grupo Verd,297
Ávila,PP,47072
Ávila,PSOE,20254
Ávila,C's,15971
Ávila,PODEMOS,11951
Ávila,IU-UP,3905
Ávila,UPyD,908
Ávila,PACMA,519
Ávila,VOX,330
Ávila,Recortes Cero-Grupo Verd,125
Badajoz,PSOE,148493
Badajoz,PP,137640
Badajoz,PODEMOS,47368
Badajoz,C's,45350
Badajoz,IU-UP,12338
Badajoz,PACMA,2041
Badajoz,UPyD,1546
Badajoz,Recortes Cero-Grupo Verd,508
Baleares,PP,140640
Baleares,PODEMOS,111628
Baleares,PSOE,88635
Baleares,C's,71551
Baleares,MÉS,33877
Baleares,IU-UP,11451
Baleares,PACMA,5114
Baleares,UPyD,2276
Baleares,Recortes Cero-Grupo Verd,1177
Barcelona,EN COMÚ,768235
Barcelona,PSC-PSOE,464588
Barcelona,ERC-CATSI,414163
Barcelona,C's,387061
Barcelona,DL,378723
Barcelona,PP,321980
Barcelona,unio.cat,48326
Barcelona,PACMA,34394
Barcelona,Recortes Cero-Grupo Verd,10730
Barcelona,UPyD,6595
Barcelona,PCPC,5493
Burgos,PP,82037
Burgos,PSOE,44640
Burgos,PODEMOS,36818
Burgos,C's,33558
Burgos,IU-UP,10171
Burgos,UPyD,2356
Burgos,PACMA,1431
Burgos,VOX,926
Burgos,PCPE,507
Burgos,Recortes Cero-Grupo Verd,452
Cáceres,PP,87924
Cáceres,PSOE,84758
Cáceres,PODEMOS,34730
Cáceres,C's,28406
Cáceres,IU-UP,7252
Cáceres,PACMA,1363
Cáceres,UPyD,1074
Cáceres,VOX,518
Cáceres,Recortes Cero-Grupo Verd,338
Cádiz,PSOE,180895
Cádiz,PP,179319
Cádiz,PODEMOS,130734
Cádiz,C's,94962
Cádiz,IU-UP,38881
Cádiz,PACMA,7591
Cádiz,UPyD,3637
Cádiz,VOX,1493
Cádiz,Recortes Cero-Grupo Verd,1042
Cádiz,PCPE,780
Castellón,PP,98474
Castellón,PODEMOS-COMPROMÍS,74732
Castellón,PSOE,66590
Castellón,C's,48328
Castellón,IU-UP,9605
Castellón,PACMA,2252
Castellón,UPyD,1743
Castellón,VOX,921
Castellón,PCPE,509
Castellón,Recortes Cero-Grupo Verd,489
Ciudad Real,PP,113451
Ciudad Real,PSOE,91959
Ciudad Real,PODEMOS,36879
Ciudad Real,C's,36477
Ciudad Real,IU-UP,9834
Ciudad Real,PACMA,1949
Ciudad Real,UPyD,1625
Ciudad Real,VOX,560
Ciudad Real,Recortes Cero-Grupo Verd,386
Córdoba,PSOE,149851
Córdoba,PP,142101
Córdoba,PODEMOS,68740
Córdoba,C's,55812
Córdoba,IU-UP,37650
Córdoba,PACMA,3529
Córdoba,UPyD,2069
Córdoba,PCPE,876
Córdoba,Recortes Cero-Grupo Verd,605
La Coruña,PP,239303
La Coruña,PODEMOS-En Marea-ANOVA-EU,177581
La Coruña,PSdeG-PSOE,137734
La Coruña,C's,66784
La Coruña,BNG-CG-FOGA-PCPG-PG,30618
La Coruña,PACMA,5169
La Coruña,UPyD,3531
La Coruña,Recortes Cero-Grupo Verd,1548
La Coruña,PCPE,1447
La Coruña,VOX,1246
Cuenca,PP,50736
Cuenca,PSOE,37019
Cuenca,PODEMOS,14113
Cuenca,C's,13049
Cuenca,IU-UP,3628
Cuenca,PACMA,537
Cuenca,UPyD,464
Cuenca,VOX,356
Cuenca,Recortes Cero-Grupo Verd,165
Cuenca,PCPE,97
Gerona,DL,83170
Gerona,ERC-CATSI,78030
Gerona,EN COMÚ,54071
Gerona,PSC-PSOE,42096
Gerona,C's,32762
Gerona,PP,28410
Gerona,unio.cat,5871
Gerona,PACMA,3623
Gerona,Recortes Cero-Grupo Verd,889
Gerona,PCPC,602
Gerona,UPyD,586
Granada,PP,158693
Granada,PSOE,158027
Granada,PODEMOS,83650
Granada,C's,70845
Granada,IU-UP,26022
Granada,PACMA,3843
Granada,UPyD,2697
Granada,VOX,1245
Granada,PCPE,696
Granada,Recortes Cero-Grupo Verd,638
Guadalajara,PP,47365
Guadalajara,PSOE,30685
Guadalajara,C's,24603
Guadalajara,PODEMOS,23827
Guadalajara,IU-UP,5628
Guadalajara,PACMA,1152
Guadalajara,UPyD,1026
Guadalajara,VOX,645
Guadalajara,Recortes Cero-Grupo Verd,283
Guipúzcoa,PODEMOS,98533
Guipúzcoa,EAJ-PNV,91359
Guipúzcoa,EH Bildu,81257
Guipúzcoa,PSE-EE/PSOE,51764
Guipúzcoa,PP,33884
Guipúzcoa,C's,14608
Guipúzcoa,IU-UP,10722
Guipúzcoa,PACMA,2276
Guipúzcoa,UPyD,1313
Guipúzcoa,Recortes Cero-Grupo Verd,782
Huelva,PSOE,95637
Huelva,PP,74353
Huelva,PODEMOS,39435
Huelva,C's,30776
Huelva,IU-UP,11786
Huelva,PACMA,2385
