Provincia,Escaños
Álava,4
Albacete,4
Alicante,12
Almería,6
Oviedo,8
Ávila,3
Badajoz,6
Baleares,8
Barcelona,31
Burgos,4
Cáceres,4
Cádiz,9
Cantabria,5
Castellón,5
Ceuta,1
Ciudad Real,5
Córdoba,6
Cuenca,3
Gerona,6
Granada,7
Guadalajara,3
Guipúzcoa,6
Huelva,5
Huesca,3
Jaén,5
La Coruña,8
La Rioja,4
Las Palmas,8
León,4
Lérida,4
Lugo,4
Madrid,36
Málaga,11
Melilla,1
Murcia,10
Navarra,5
Orense,4
Palencia,3
Pontevedra,7
Salamanca,4
Santa Cruz de Tenerife,7
Segovia,3
Sevilla,12
Soria,2
Tarragona,6
Teruel,3
Toledo,6
Valencia,16
Valladolid,5
Vizcaya,8
Zamora,3
Zaragoza,7
